country,cont,area,rain,prec.mean,prec.med,prec.mod,slope,pop1999,tflcpc,tfc2000,tfc1990,tfl,nflcpc,nfc2000,nfc1990,nfl,floods,floodsev,duravg,areaflavg,areaaffavg,kill,disp,damage,GNI,PPPGNI,humzone,urban,crop,cropnat
Angola,Africa,124670,330.2,1019.2543,1090,1356,1.072567901,12479000,2,69756,71151,1395,2,69615,71007,1392,1,1.0000,8.000,6000,47000,31,70000,10000000,9,24,subhumid,133,63802,63982
Botswana,Africa,56673,526.6,393.8355,393,366,0.214285714,1597000,9,12427,13545,1118,9,12426,13544,1118,1,1.0000,8.000,NA,NA,20,2000,NA,5,13,semiarid,79,26383,90901
Cameroon,Africa,46540,1598.4,1640.5302,1591,1616,0.925436242,14693000,9,23858,26005,2147,9,23778,25918,2140,2,1.5000,4.500,NA,3700,5,500,NA,9,30,perhumid,192,66425,30149
CAR,Africa,62297,1507.7,1366.8872,1409,1506,0.366069652,3550000,1,22907,23136,229,NA,22903,NA,NA,1,1.0000,6.000,NA,NA,200,NA,NA,1,4,subhumid,102,76028,3481
Chad,Africa,125920,569.8,314.842,130,4,0.530553241,7458000,6,12692,13454,762,6,12678,13439,761,2,1.0000,27.000,165124,NA,1,130000,NA,2,8,semiarid,51,1640,15773
Congo,Africa,34150,1370.7,1656.0127,1672,1651,0.321308411,2864000,1,22060,22281,221,1,21977,22197,220,3,1.0000,7.000,NA,NA,NA,2000,NA,2,3,perhumid,38,4517,7817
DRC,Africa,226705,1143,1594.6883,1643,1673,0.700622353,50335000,4,135207,140615,5408,4,135110,140514,5404,2,1.0000,2.000,NA,NA,8,NA,NA,5,32,perhumid,516,61903,176856
Ethiopia,Africa,110430,1229.5,749.7805,653,317,2.499161165,61095000,8,4593,4960,367,9,4377,4771,394,18,1.1429,9.333,6427,57500,51,45929,1600000,7,52,subhumid,165,130671,46466
Ghana,Africa,22754,736.6,1245.2994,1212,1050,0.512432432,19678000,17,6335,7412,1077,18,6259,7386,1127,5,1.2500,2.600,120071,NA,2264,200000,12500000,6,42,subhumid,93,10271,43209
Kenya,Africa,56915,760.3,604.3277,503,330,0.993838071,29549000,5,17096,17951,855,5,16865,17708,843,3,1.0000,11.000,NA,NA,7,29500,NA,11,32,semiarid,172,41264,75122
Malawi,Africa,9409,914.4,1090.5195,1010,918,1.484473684,10640000,24,2562,3177,615,26,2450,3087,637,4,1.2500,14.250,30000,NA,168,75750,24000000,2,6,subhumid,24,26675,7402
Mozambique,Africa,78409,768.3,990.2206,1026,1052,0.768267692,19286000,2,30601,31213,612,2,30551,31162,611,8,1.0000,18.125,92864,NA,31,136500,21200000,4,18,subhumid,9,234368,63434
Nigeria,Africa,91077,1828.8,1177.9639,1135,1178,0.599196013,108945000,26,13517,17031,3514,28,12824,16415,3591,13,1.1111,3.333,3850,7700,24,76333,NA,40,106,subhumid,494,36868,139717
RSA,Africa,121758,704.1,490.8898,479,181,2.020944206,39900000,1,8917,9006,89,3,7363,7584,221,13,1.0000,5.000,NA,37325,20,1385,6550000,113,445,semiarid,2039,143791,320397
Senegal,Africa,19252,504.8,671.2288,641,414,0.270422535,9240000,7,6205,6639,434,9,5942,6477,535,1,1.0000,15.000,NA,NA,NA,NA,NA,5,15,subhumid,32,19360,15454
Sudan,Africa,237600,155.5,411.6968,275,2,0.529086909,28883000,14,61627,70255,8628,15,60986,70134,9148,9,1.1250,9.222,13500000,NA,24,116425,20090000,12,57,semiarid,507,75208,52334
Tanzania,Africa,88359,550.6,979.6658,966,951,1.108118567,32793000,2,38811,39587,776,NA,38676,NA,NA,11,1.1000,13.545,NA,30530,484,517469,1890000,10,20,subhumid,112,222024,142361
Togo,Africa,5439,889,1189.0294,1163,1134,0.4005,4512000,34,510,683,173,38,472,651,179,2,1.0000,5.500,10000,NA,2,82500,8000000,1,7,subhumid,26,1096,5506
Uganda,Africa,19964,1244.3,1197.1403,1213,1285,1.250487805,21143000,20,4190,5028,838,20,4147,4976,829,3,1.0000,7.667,9600,NA,23,20000,1000000,6,33,perhumid,106,62933,22371
Zambia,Africa,74339,838.2,1018.3744,1008,1060,0.776745098,8976000,24,31246,38745,7499,24,31171,38652,7481,1,NA,2.000,NA,8500,NA,12000,NA,133,8,subhumid,305,109447,143197
Zimbabwe,Africa,38685,838.2,673.0251,666,593,1.45562963,11529000,15,19040,21896,2856,16,18899,21923,3024,2,2.0000,5.000,NA,NA,1,250,NA,NA,28,subhumid,471,157761,53358
Bangladesh,Asia,13017,1997.3,2225.8687,2116,1626,1.46876376,126947000,-13,1334,1161,-173,8,709,766,57,48,1.0857,11.813,282327,19632,79,1042702,96493714,51,241,subhumid,225,93841,8424
Cambodia,Asia,17652,1320.8,1781.3217,1705,1769,0.939206349,10945000,6,9335,9895,560,6,9245,9800,555,8,1.1429,13.000,40300,NA,86,245870,27625000,4,25,subhumid,121,75932,21902
China,Asia,932743,632.46,560.8224,448,24,3.007293403,1274106000,-12,163480,143862,-19618,-6,118397,111293,-7104,99,1.3294,13.309,930712,129309,131,960408,6162399555,1234,5792,perhumid,7602,1753350,939461
India,Asia,297319,706.4,1111.5903,976,915,2.024879891,998056000,-1,64113,63472,-641,38,31535,43518,11983,67,1.1273,11.030,356300,135321,167,1488355,125254235,495,2778,subhumid,5906,1742140,370788
Indonesia,Asia,181157,1821,2694.0055,2683,2869,1.708402381,209255000,12,104986,117584,12598,15,95116,109383,14267,41,1.1053,5.436,6476,23033,27,54540,100030636,150,650,perhumid,4931,363251,185247
Laos,Asia,23080,1752.6,1890.618,1701,1442,4.681184211,5297000,4,12561,13063,502,5,12507,13132,625,4,1.2500,12.333,21000,NA,16,20400,NA,2,9,perhumid,18,15734,19392
Malaysia,Asia,32855,2393.6,2946.1396,2815,2440,2.025681081,21830000,12,19292,21607,2315,14,17543,19999,2456,7,1.0000,6.000,73727,71785,32,7800,24981000,86,207,perhumid,384,70381,30419
Myanmar,Asia,65755,2505.6,1997.3259,1719,1331,3.848318966,45059000,14,34419,39238,4819,15,33598,38638,5040,7,1.1667,7.143,76577,NA,75,46329,NA,NA,NA,perhumid,427,134770,7839
Philippines,Asia,29817,2050.5,2551.1892,2506,2370,2.44115641,74454000,14,5789,6599,810,21,5036,6094,1058,27,1.2500,4.360,209000,13941,12,14500,NA,82,356,perhumid,242,123379,131064
PNG,Asia,45239,1083.8,3061.7901,2904,2139,3.062170543,4702000,4,30601,31825,1224,4,30511,31731,1220,4,1.0526,4.000,NA,9590,20,89723,5997873,3,12,perhumid,52,5672,27756
SriLanka,Asia,6463,2241.5,1874.3985,1650,1348,0.988005,18639000,16,1940,2250,310,22,1625,1983,358,19,1.1250,8.667,7225,13598,9,128820,926000,16,67,subhumid,212,24143,30005
